Clf,Score
minoritario,327.7081238067843
pessimo,327.7081238067843
rand2,347.5597657204862
rand1,361.45887815037185
rand3,364.1086263845042
GaussianNB,368.75339818697955
majoritario,385.1502041812073
BernoulliNB,389.58853893529493
DecisionTreeClassifier(),408.96732484497096
KNeighborsClassifier(2),410.30279002939926
KNeighborsClassifier(3),410.30279002939926
KNeighborsClassifier(5),410.30279002939926
KNeighborsClassifier(8),410.30279002939926
RandomForestClassifier(3_estimators),410.30279002939926
RandomForestClassifier(5_estimators),410.30279002939926
RandomForestClassifier,410.30279002939926
SVM,410.30279002939926
MLPClassifier,410.30279002939926
otimo,410.30279002939926
