Metodo,Acuracia
GaussianNB,0.9364153627311523
BernoulliNB,0.9152204836415361
KNeighborsClassifier(2),0.8304409672830726
KNeighborsClassifier(3),0.917923186344239
KNeighborsClassifier(5),0.9231152204836415
KNeighborsClassifier(8),0.9178520625889046
DecisionTreeClassifier(),0.9044807965860597
RandomForestClassifier(3_estimators),0.8966571834992887
RandomForestClassifier(5_estimators),0.9073968705547653
RandomForestClassifier,0.9178520625889046
SVM,0.9152204836415361
MLPClassifier,0.9284495021337127
rand1,0.5493827160493827
rand2,0.46296296296296297
rand3,0.5432098765432098
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
