Metodo,Acuracia
GaussianNB,0.9382716049382716
BernoulliNB,0.9135802469135802
KNeighborsClassifier(2),0.8827160493827161
KNeighborsClassifier(3),0.9259259259259259
KNeighborsClassifier(5),0.9320987654320988
KNeighborsClassifier(8),0.9197530864197531
DecisionTreeClassifier(),0.8950617283950617
RandomForestClassifier(3_estimators),0.9259259259259259
RandomForestClassifier(5_estimators),0.9074074074074074
RandomForestClassifier,0.9259259259259259
SVM,0.9197530864197531
MLPClassifier,0.9382716049382716
rand1,0.5493827160493827
rand2,0.46296296296296297
rand3,0.5432098765432098
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
