,Discriminacao,Dificuldade,Adivinhacao
V1,8.841,-0.633,0.026
V2,6.107,-0.412,0.051
V3,8.841,-0.633,0.026
V4,8.841,-0.633,0.026
V5,8.841,-0.633,0.026
V6,13.747,-1.264,0.291
V7,21.191,-0.394,0.016
V8,8.841,-0.633,0.026
V9,21.178,-0.394,0.016
V10,3.434,-0.679,0.045
V11,21.164,-0.394,0.016
V12,-8.902,-0.653,0.000
V13,8.841,-0.633,0.027
V14,20.656,-0.048,0.017
V15,13.884,-1.228,0.300
V16,21.123,-0.394,0.016
V17,3.662,-0.834,0.039
V18,8.841,-0.633,0.027
V19,8.841,-0.633,0.027
V20,-2.539,-0.907,0.022
V21,13.941,-1.213,0.303
V22,21.095,-0.394,0.016
V23,18.309,0.218,0.623
V24,5.952,-0.436,0.046
V25,19.441,-0.489,0.310
V26,8.841,-0.633,0.027
V27,21.068,-0.394,0.016
V28,5.547,-0.461,0.035
V29,13.314,-0.308,0.406
V30,6.037,-0.425,0.047
V31,6.059,-0.214,0.074
V32,19.424,-0.488,0.308
V33,14.081,-1.178,0.312
V34,14.109,-1.171,0.313
V35,14.137,-1.164,0.315
V36,20.999,-0.393,0.015
V37,19.378,-0.487,0.305
V38,3.654,-0.833,0.038
V39,3.922,-0.842,0.035
V40,19.369,-0.486,0.304
V41,8.841,-0.632,0.027
V42,20.958,-0.393,0.015
V43,20.944,-0.393,0.015
V44,-16.168,-0.582,0.089
V45,19.341,-0.485,0.302
V46,19.332,-0.485,0.301
V47,3.657,-0.842,0.038
V48,6.043,-0.425,0.047
V49,2.302,-1.195,0.076
V50,8.841,-0.632,0.027
V51,5.549,-0.461,0.035
V52,14.346,-1.112,0.327
V53,14.371,-1.106,0.329
V54,-274.047,-0.657,0.000
V55,3.657,-0.842,0.038
V56,8.593,0.506,0.832
V57,8.841,-0.632,0.027
V58,6.412,-0.426,0.040
V59,20.861,-0.393,0.015
V60,3.923,-0.842,0.035
V61,19.284,-0.484,0.298
V62,20.834,-0.392,0.015
V63,3.654,-0.833,0.038
V64,6.049,-0.424,0.047
V65,19.264,-0.483,0.297
V66,8.841,-0.632,0.027
V67,19.254,-0.483,0.296
V68,20.793,-0.392,0.015
V69,8.841,-0.632,0.027
V70,20.779,-0.392,0.015
V71,20.765,-0.392,0.015
V72,14.602,-1.049,0.343
V73,6.398,-0.183,0.089
V74,14.624,-1.044,0.344
V75,6.417,-0.181,0.089
V76,14.645,-1.039,0.345
V77,20.711,-0.392,0.015
V78,20.697,-0.392,0.015
V79,20.683,-0.392,0.014
V80,19.154,-0.480,0.289
V81,26.716,0.573,0.727
V82,14.752,-1.012,0.351
V83,14.772,-1.007,0.352
V84,14.793,-1.002,0.353
V85,19.113,-0.479,0.287
V86,-2.243,-0.636,0.012
V87,20.601,-0.391,0.014
V88,20.587,-0.391,0.014
V89,14.872,-0.983,0.357
V90,3.358,-1.273,0.065
V91,8.841,-0.632,0.028
V92,3.368,-1.269,0.066
V93,20.560,-0.391,0.014
V94,14.909,-0.973,0.358
V95,15.186,-0.119,0.019
V96,14.927,-0.969,0.359
V97,19.039,-0.478,0.283
V98,8.841,-0.632,0.028
V99,6.466,-0.393,0.058
V100,-13.932,-1.716,0.247
V101,14.962,-0.960,0.360
V102,5.551,-0.461,0.035
V103,20.491,-0.391,0.014
V104,-4.654,-0.396,0.001
V105,1.130,-1.638,0.697
V106,20.478,-0.391,0.014
V107,3.923,-0.842,0.035
V108,18.996,-0.477,0.280
V109,-2.724,-1.442,0.001
V110,20.450,-0.391,0.014
V111,31.489,0.169,0.368
V112,15.037,-0.940,0.362
V113,15.049,-0.936,0.362
V114,20.409,-0.391,0.014
V115,20.396,-0.390,0.014
V116,20.382,-0.390,0.014
V117,8.841,-0.632,0.028
V118,3.538,-0.849,0.037
V119,20.368,-0.390,0.014
V120,3.924,-0.842,0.036
V121,6.050,-0.401,0.048
V122,-3.725,-0.864,0.001
V123,20.794,-0.077,0.012
V124,20.341,-0.390,0.014
V125,13.098,-0.138,0.018
V126,6.408,-0.426,0.041
V127,3.925,-0.842,0.036
V128,20.327,-0.390,0.014
V129,20.313,-0.390,0.013
V130,3.925,-0.842,0.036
V131,6.404,-0.426,0.041
V132,-5.455,-0.324,0.001
V133,20.300,-0.390,0.013
V134,8.841,-0.632,0.028
V135,15.124,-0.908,0.361
V136,8.841,-0.632,0.028
V137,8.841,-0.632,0.028
V138,4.393,-0.567,0.049
V139,18.843,-0.475,0.272
V140,8.841,-0.632,0.028
V141,18.832,-0.475,0.271
V142,-2.412,-0.885,0.001
V143,20.245,-0.390,0.013
V144,3.926,-0.841,0.036
V145,18.809,-0.474,0.270
V146,-5.469,-0.721,0.033
V147,-273.796,-0.658,0.000
V148,5.554,-0.460,0.036
V149,15.117,-0.900,0.357
V150,8.841,-0.631,0.028
V151,3.927,-0.841,0.036
V152,18.776,-0.474,0.268
V153,13.545,-0.131,0.018
V154,15.106,-0.899,0.355
V155,-3.736,-0.864,0.001
V156,6.112,-0.411,0.051
V157,20.163,-0.390,0.013
V158,20.150,-0.389,0.013
V159,15.079,-0.898,0.352
V160,15.068,-0.898,0.350
V161,6.400,-0.426,0.041
V162,20.109,-0.389,0.013
