Clf,Score
minoritario,98.93093305433997
pessimo,98.93093305433997
rand2,110.1243605263087
rand3,110.14613715804366
rand1,127.0639538198705
KNeighborsClassifier(2),136.5663358707884
GaussianNB,139.65275739184327
BernoulliNB,139.65275739184327
KNeighborsClassifier(3),139.65275739184327
KNeighborsClassifier(5),139.65275739184327
KNeighborsClassifier(8),139.65275739184327
DecisionTreeClassifier(),139.65275739184327
RandomForestClassifier(3_estimators),139.65275739184327
RandomForestClassifier(5_estimators),139.65275739184327
RandomForestClassifier,139.65275739184327
SVM,139.65275739184327
MLPClassifier,139.65275739184327
majoritario,139.65275739184327
otimo,139.65275739184327
