Clf,Theta
GaussianNB,0.024781495722597177
BernoulliNB,0.11413757269043141
KNeighborsClassifier(2),0.024781495722597177
KNeighborsClassifier(3),0.11413757269043141
KNeighborsClassifier(5),0.11413757269043141
KNeighborsClassifier(8),0.11413757269043141
DecisionTreeClassifier(),-0.33700603198608836
RandomForestClassifier(3_estimators),0.024781495722597177
RandomForestClassifier(5_estimators),0.11413757269043141
RandomForestClassifier,0.11413757269043141
SVM,0.11413757269043141
MLPClassifier,0.11413757269043141
rand1,-0.676841453922175
rand2,-0.7143481813864521
rand3,-0.7034168853909014
majoritario,0.11413757269043141
minoritario,-1.8311425714967802
pessimo,-1.242468487037091
otimo,-1.0153237146009588
