Clf,Theta
GaussianNB,0.08356755167639053
BernoulliNB,0.08356755167639053
KNeighborsClassifier(2),0.08356755167639053
KNeighborsClassifier(3),0.08356755167639053
KNeighborsClassifier(5),0.08356755167639053
KNeighborsClassifier(8),0.08356755167639053
DecisionTreeClassifier(),-0.019668482457742928
RandomForestClassifier(3_estimators),0.08356755167639053
RandomForestClassifier(5_estimators),0.08356755167639053
RandomForestClassifier,-0.014515643815110718
SVM,0.08356755167639053
MLPClassifier,0.08356755167639053
rand1,-0.6700755550773154
rand2,-0.693465006506148
rand3,-0.6959776568889725
majoritario,0.08356755167639053
minoritario,-1.3435712190095344
pessimo,-1.3435712190095344
otimo,0.002531498435196713
