Metodo,Acuracia
GaussianNB,0.7257142857142858
BernoulliNB,0.71
KNeighborsClassifier(2),0.6771428571428572
KNeighborsClassifier(3),0.6414285714285713
KNeighborsClassifier(5),0.6842857142857143
KNeighborsClassifier(8),0.7014285714285714
DecisionTreeClassifier(),0.6557142857142858
RandomForestClassifier(3_estimators),0.7042857142857143
RandomForestClassifier(5_estimators),0.7114285714285714
RandomForestClassifier,0.7471428571428571
SVM,0.7085714285714285
MLPClassifier,0.6614285714285714
rand1,0.4866666666666667
rand2,0.5066666666666667
rand3,0.51
majoritario,0.7
minoritario,0.3
pessimo,0.0
otimo,1.0
