,Discriminacao,Dificuldade,Adivinhacao
V1,1.481,-2.875,0.001
V2,0.843,-3.406,0.002
V3,5.607,-0.893,0.061
V4,2.292,-0.462,0.000
V5,1.837,-0.244,0.000
V6,2.424,-0.396,0.000
V7,1.482,-2.713,0.001
V8,1.020,-1.573,0.000
V9,1.017,-0.604,0.061
V10,-1.393,-2.770,0.025
V11,3.329,0.272,0.000
V12,18.922,0.037,0.000
V13,1.635,-1.469,0.000
V14,0.861,-2.287,0.000
V15,3.382,0.806,0.022
V16,1.926,-0.182,0.000
V17,-2.554,1.223,0.000
V18,3.099,-0.828,0.063
V19,-1.567,0.960,0.000
V20,1.984,-0.438,0.000
V21,0.737,-1.279,0.000
V22,1.441,-0.087,0.003
V23,1.893,-1.014,0.000
V24,-1.068,-1.530,0.000
V25,-1.986,1.094,0.000
V26,4.112,0.163,0.000
V27,3.966,0.970,0.001
V28,0.822,-1.832,0.000
V29,-2.111,-0.773,0.000
V30,-3.062,1.160,0.000
V31,-4.707,0.959,0.000
V32,1.458,0.555,0.212
V33,-1.821,0.294,0.000
V34,-7.664,-0.080,0.010
V35,-2.364,1.138,0.000
V36,0.822,-3.814,0.006
V37,1.304,-1.200,0.000
V38,1.374,-1.988,0.001
V39,1.706,-0.981,0.000
V40,1.893,0.547,0.022
V41,1.721,-0.910,0.000
V42,2.031,-0.980,0.000
V43,-4.006,0.822,0.000
V44,2.307,-0.145,0.000
V45,3.187,0.437,0.000
V46,2.176,-0.309,0.000
V47,5.387,0.483,0.000
V48,4.635,0.715,0.020
V49,1.329,-1.522,0.000
V50,-5.712,-2.132,0.077
V51,3.304,0.681,0.000
V52,1.338,-0.585,0.000
V53,1.457,-2.277,0.000
V54,1.032,-2.791,0.001
V55,0.807,-2.051,0.000
V56,11.687,1.216,0.027
V57,4.182,1.119,0.021
V58,-2.189,0.718,0.000
V59,-1.793,1.183,0.000
V60,3.280,0.448,0.038
V61,-3.809,-3.274,0.034
V62,1.031,-2.791,0.001
V63,2.571,-1.199,0.000
V64,1.455,-0.791,0.000
V65,0.967,-3.551,0.002
V66,1.388,9.710,0.122
V67,-1.953,1.325,0.000
V68,2.146,-1.597,0.000
V69,-2.521,0.550,0.000
V70,-2.294,0.417,0.000
V71,-0.880,-2.229,0.000
V72,-1.864,1.054,0.000
V73,3.844,0.610,0.021
V74,-2.108,0.318,0.000
V75,1.116,-2.837,0.001
V76,8.688,-2.096,0.000
V77,11.428,-0.691,0.000
V78,2.718,-0.272,0.000
V79,2.061,-1.197,0.000
V80,3.846,0.642,0.000
V81,-0.603,-0.265,0.001
V82,3.618,1.017,0.000
V83,1.639,-1.462,0.001
V84,2.459,1.413,0.000
V85,1.777,-2.421,0.000
V86,1.482,-2.713,0.001
V87,1.064,-3.041,0.001
V88,-2.313,1.183,0.000
V89,2.224,-2.312,0.001
V90,3.329,-0.247,0.000
V91,2.385,-1.003,0.000
V92,-2.155,-2.306,0.059
V93,2.111,0.313,0.000
V94,2.100,-1.820,0.000
V95,11.397,0.520,0.040
V96,4.308,-0.448,0.000
V97,-2.191,0.666,0.000
V98,-3.194,0.233,0.024
V99,-2.319,0.629,0.000
V100,1.372,-2.092,0.000
V101,1.510,-2.548,0.001
V102,1.787,-0.468,0.000
V103,-1.832,-0.887,0.000
V104,-0.880,-1.566,0.000
V105,-0.638,-0.020,0.000
V106,-2.562,0.505,0.000
V107,1.319,-3.165,0.001
V108,1.043,-1.734,0.000
V109,3.022,0.970,0.022
V110,-6.013,0.935,0.000
V111,1.749,-0.190,0.029
V112,1.931,-2.720,0.001
V113,-1.977,1.014,0.000
V114,0.686,-3.326,0.002
V115,2.854,6.000,0.576
V116,1.853,-0.819,0.000
V117,-0.975,-0.583,0.000
V118,1.544,-0.512,0.005
V119,1.667,-0.860,0.000
V120,2.406,0.791,0.028
V121,4.234,1.026,0.021
V122,-0.869,-2.280,0.000
V123,-1.751,0.513,0.000
V124,-2.596,-0.612,0.000
V125,1.393,-1.962,0.000
V126,2.925,0.128,0.000
V127,2.022,-0.493,0.000
V128,4.492,1.483,0.020
V129,1.856,-1.401,0.002
V130,2.012,0.786,0.029
V131,1.370,0.137,0.002
V132,3.836,0.762,0.021
V133,3.270,-2.338,0.000
V134,2.563,0.537,0.028
V135,2.920,-1.173,0.000
V136,-2.577,-2.282,0.019
V137,1.092,-3.031,0.001
V138,-0.772,-2.832,0.001
V139,2.361,0.010,0.000
V140,1.375,-2.084,0.001
V141,1.901,0.469,0.031
V142,-3.865,0.712,0.000
V143,-3.054,0.516,0.000
V144,-2.199,1.084,0.000
V145,1.369,-2.214,0.000
V146,3.020,0.794,0.000
V147,0.591,-3.681,0.008
V148,-3.787,0.938,0.000
V149,2.704,0.674,0.000
V150,1.395,-0.327,0.000
V151,2.301,-2.141,0.001
V152,1.892,1.191,0.000
V153,15.653,0.645,0.020
V154,-2.296,1.009,0.000
V155,1.482,-2.713,0.001
V156,-3.823,-0.566,0.000
V157,3.840,-0.562,0.000
V158,-1.150,-1.464,0.000
V159,-1.686,0.512,0.000
V160,1.144,-1.646,0.000
V161,2.552,-1.368,0.000
V162,1.097,-3.584,0.002
V163,2.544,0.667,0.030
V164,-4.888,-0.982,0.042
V165,-1.206,-0.287,0.000
V166,-1.403,-0.622,0.000
V167,1.558,-0.952,0.000
V168,1.777,-1.515,0.000
V169,-2.096,-0.776,0.000
V170,0.698,-3.445,0.003
V171,-16.498,0.689,0.000
V172,0.843,-2.794,0.001
V173,-1.804,-0.045,0.000
V174,1.548,-0.350,0.001
V175,0.935,-3.601,0.002
V176,2.440,0.862,0.026
V177,-1.546,-0.138,0.001
V178,5.228,0.838,0.000
V179,2.619,-0.754,0.050
V180,-1.806,1.370,0.000
V181,0.839,-2.807,0.001
V182,1.658,-2.184,0.000
V183,-2.758,0.953,0.000
V184,4.904,0.744,0.000
V185,1.908,-1.866,0.000
V186,1.393,-0.506,0.000
V187,2.379,-0.624,0.000
V188,2.599,-0.608,0.000
V189,0.908,-1.200,0.001
V190,1.450,-1.458,0.001
V191,4.129,0.856,0.000
V192,2.029,-0.219,0.000
V193,-1.116,-1.094,0.000
V194,1.961,1.147,0.024
V195,-1.547,0.914,0.000
V196,2.140,0.080,0.039
V197,1.426,-1.002,0.000
V198,1.669,-1.139,0.000
V199,2.948,-0.122,0.038
V200,2.467,1.537,0.025
V201,1.048,-3.090,0.001
V202,1.347,-1.184,0.000
V203,3.996,1.119,0.036
V204,-2.406,1.228,0.000
V205,1.040,0.406,0.006
V206,-2.622,0.426,0.000
V207,2.208,-0.641,0.000
V208,-2.214,0.137,0.000
V209,2.711,-1.536,0.000
V210,-1.122,-0.946,0.000
V211,3.628,-0.137,0.000
V212,-2.061,-0.319,0.000
V213,2.050,-2.205,0.001
V214,2.699,-1.040,0.000
V215,3.938,0.393,0.026
V216,2.494,0.653,0.025
V217,-0.888,-1.231,0.001
V218,-4.856,1.084,0.000
V219,2.221,-0.824,0.000
V220,-4.218,-1.943,0.064
V221,2.926,-0.737,0.014
V222,-9.457,-2.682,0.033
V223,3.457,-1.139,0.000
V224,-2.653,-0.120,0.000
V225,-1.734,0.969,0.000
V226,0.859,-3.050,0.001
V227,1.216,-1.869,0.000
V228,2.091,0.230,0.000
V229,-4.478,1.045,0.000
V230,3.238,-1.689,0.000
V231,2.171,-0.487,0.105
V232,1.289,-1.289,0.000
V233,3.571,0.154,0.000
V234,2.042,-1.113,0.000
V235,3.233,0.927,0.022
V236,-3.078,-3.328,0.091
V237,5.871,0.133,0.000
V238,0.939,-2.046,0.001
V239,1.520,0.452,0.000
V240,2.894,0.296,0.000
V241,-2.183,0.367,0.000
V242,1.689,-1.283,0.000
V243,-1.825,-2.973,0.026
V244,1.952,0.835,0.000
V245,1.341,-3.390,0.001
V246,-12.354,-1.217,0.055
V247,5.626,0.455,0.000
V248,-4.316,0.890,0.000
V249,1.099,-3.577,0.002
V250,2.691,0.246,0.035
V251,3.888,-0.398,0.000
V252,-1.837,1.234,0.000
V253,2.289,0.190,0.000
V254,5.722,-0.212,0.000
V255,5.559,0.143,0.049
V256,-4.043,0.819,0.000
V257,1.865,-0.087,0.000
V258,2.192,0.367,0.000
V259,-0.675,-2.146,0.000
V260,1.267,-3.633,0.002
V261,-1.560,0.323,0.000
V262,2.456,-0.560,0.000
V263,2.745,0.169,0.000
V264,-2.089,0.541,0.000
V265,2.208,-0.639,0.000
V266,-1.018,-1.075,0.000
V267,0.985,-3.160,0.001
V268,-1.417,-0.160,0.000
V269,-0.836,-0.980,0.000
V270,2.653,0.119,0.000
V271,9.346,-2.006,0.000
V272,3.289,1.386,0.028
V273,-0.888,1.219,0.010
V274,-1.024,-2.050,0.000
V275,21.660,0.795,0.020
V276,16.090,-0.668,0.000
V277,-1.883,0.581,0.000
V278,4.219,0.319,0.048
V279,0.868,-3.355,0.001
V280,3.266,-2.337,0.000
V281,6.352,1.090,0.020
V282,-4.883,0.744,0.000
V283,18.381,0.744,0.000
V284,1.762,-2.030,0.000
V285,1.822,0.099,0.037
V286,1.429,-2.574,0.001
V287,17.662,0.721,0.000
V288,3.257,1.434,0.028
V289,0.974,-2.459,0.001
V290,1.469,-1.058,0.000
V291,6.332,0.181,0.000
V292,1.777,-2.422,0.000
V293,2.858,0.891,0.022
V294,1.180,-2.102,0.001
V295,4.274,0.479,0.024
V296,-2.514,1.270,0.000
V297,3.553,-1.789,0.000
V298,3.015,0.265,0.001
V299,3.023,0.811,0.022
V300,1.517,-2.532,0.001
