Clf,Theta
GaussianNB,0.7257224599353711
BernoulliNB,1.2707777652481824
KNeighborsClassifier(2),1.4194321533790755
KNeighborsClassifier(3),1.1676479963542779
KNeighborsClassifier(5),1.242529137000404
KNeighborsClassifier(8),1.2886259212345839
DecisionTreeClassifier(),0.7933899866652524
RandomForestClassifier(3_estimators),0.78231604075425
RandomForestClassifier(5_estimators),0.5966688299822411
RandomForestClassifier,0.8110666234949695
SVM,1.7751671160091897
MLPClassifier,1.6652513361702976
rand1,-0.0644002034475087
rand2,-0.6756969089159351
rand3,0.7572218514235575
majoritario,2.118139140135783
minoritario,-4.039141953006002
pessimo,-2.1502065650327538
otimo,1.1982808699863177
