Clf,Theta
GaussianNB,-0.015765406080523642
BernoulliNB,-0.5024098190661259
KNeighborsClassifier(2),-1.3233490516037214
KNeighborsClassifier(3),-0.5787115826778072
KNeighborsClassifier(5),-0.6240847103545936
KNeighborsClassifier(8),-1.2807904615080903
DecisionTreeClassifier(),-0.08713184277148554
RandomForestClassifier(3_estimators),-0.2603697899545009
RandomForestClassifier(5_estimators),-0.4171551240569521
RandomForestClassifier,-0.6232156244142265
SVM,-1.8028562100235228
MLPClassifier,-1.8028562100235228
rand1,0.6131312827055977
rand2,0.609941407128315
rand3,0.5560316123032923
majoritario,-1.8028562100235228
minoritario,4.549853307874484
pessimo,1.0920884215315723
otimo,-0.16298947555145968
