Metodo,Acuracia
GaussianNB,0.8415204678362572
BernoulliNB,0.7564327485380117
KNeighborsClassifier(2),0.62953216374269
KNeighborsClassifier(3),0.6564327485380118
KNeighborsClassifier(5),0.6564327485380117
KNeighborsClassifier(8),0.6090643274853801
DecisionTreeClassifier(),0.677485380116959
RandomForestClassifier(3_estimators),0.7944444444444444
RandomForestClassifier(5_estimators),0.7467836257309941
RandomForestClassifier,0.793859649122807
SVM,0.6453216374269004
MLPClassifier,0.7140350877192982
rand1,0.345679012345679
rand2,0.5432098765432098
rand3,0.6419753086419753
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
