Metodo,Acuracia
GaussianNB,0.8024691358024691
BernoulliNB,0.8518518518518519
KNeighborsClassifier(2),0.6790123456790124
KNeighborsClassifier(3),0.654320987654321
KNeighborsClassifier(5),0.6790123456790124
KNeighborsClassifier(8),0.7037037037037037
DecisionTreeClassifier(),0.7530864197530864
RandomForestClassifier(3_estimators),0.7407407407407407
RandomForestClassifier(5_estimators),0.7530864197530864
RandomForestClassifier,0.8148148148148148
SVM,0.6419753086419753
MLPClassifier,0.5925925925925926
rand1,0.345679012345679
rand2,0.5432098765432098
rand3,0.6419753086419753
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
