,Discriminacao,Dificuldade,Adivinhacao
V1,20.156,0.738,0.096
V2,3.679,-0.137,0.000
V3,3.623,0.470,0.000
V4,-2.896,0.870,0.000
V5,2.554,-0.256,0.000
V6,6.708,-0.409,0.000
V7,5.692,-0.350,0.000
V8,1.573,-1.051,0.000
V9,-4.104,0.389,0.000
V10,-2.469,0.886,0.000
V11,-4.693,-0.334,0.017
V12,-3.736,0.578,0.000
V13,1.822,-1.240,0.000
V14,1.711,-0.973,0.000
V15,-2.424,0.988,0.000
V16,-2.601,0.952,0.000
V17,-1.949,-0.583,0.097
V18,3.900,0.035,0.000
V19,18.324,0.720,0.202
V20,3.585,-0.196,0.000
V21,-3.072,-0.078,0.000
V22,-36.139,-0.035,0.027
V23,-42.930,-0.009,0.000
V24,-3.233,0.540,0.000
V25,2.690,0.059,0.201
V26,-2.188,0.132,0.000
V27,-4.211,0.112,0.000
V28,3.904,-0.359,0.000
V29,3.587,-0.154,0.000
V30,1.991,-0.331,0.000
V31,-5.165,0.459,0.000
V32,2.604,-0.879,0.000
V33,-5.846,0.287,0.000
V34,2.356,-0.563,0.000
V35,-6.505,0.458,0.000
V36,-3.028,-0.333,0.000
V37,2.243,-0.272,0.000
V38,-1.914,-0.107,0.000
V39,-3.698,0.624,0.000
V40,24.852,0.731,0.181
V41,-2.518,0.110,0.172
V42,0.794,-2.168,0.000
V43,5.075,-0.284,0.000
V44,-48.576,-0.006,0.000
V45,-2.641,0.798,0.000
V46,1.999,-0.352,0.000
V47,1.726,-1.190,0.000
V48,57.362,0.678,0.096
V49,29.414,-0.057,0.000
V50,-30.110,-1.701,0.125
V51,-31.514,-0.014,0.000
V52,2.218,-0.772,0.000
V53,2.631,-0.453,0.152
V54,-2.415,-0.040,0.000
V55,6.445,-0.396,0.000
V56,-1.571,0.919,0.000
V57,5.441,-0.328,0.000
V58,-2.813,0.720,0.000
V59,-3.871,0.024,0.000
V60,-5.611,0.137,0.000
V61,4.766,-0.473,0.109
V62,-3.128,-0.077,0.000
V63,1.472,-0.456,0.000
V64,3.763,-0.319,0.000
V65,6.012,-0.372,0.000
V66,2.026,-0.910,0.000
V67,3.595,0.749,0.127
V68,1.663,-1.130,0.000
V69,-3.895,0.678,0.000
V70,-2.741,0.323,0.078
V71,-2.627,0.856,0.000
V72,0.977,-0.043,0.000
V73,35.701,-0.049,0.167
V74,1.130,-1.487,0.000
V75,23.483,0.029,0.250
V76,3.647,-0.264,0.000
V77,-2.085,0.774,0.000
V78,18.251,-0.017,0.167
V79,0.718,-2.393,0.000
V80,-2.239,0.512,0.000
V81,1.337,0.087,0.000
