Clf,Theta
GaussianNB,-0.033675955601477486
BernoulliNB,-0.033675955601477486
KNeighborsClassifier(2),0.18756416083496177
KNeighborsClassifier(3),-0.8528277870467622
KNeighborsClassifier(5),-0.8528277870467622
KNeighborsClassifier(8),0.0028806061034686355
DecisionTreeClassifier(),-0.8528277870467622
RandomForestClassifier(3_estimators),-0.15426179485423258
RandomForestClassifier(5_estimators),-1.475268725262087
RandomForestClassifier,0.012970923239770405
SVM,0.7690303000767613
MLPClassifier,1.226426113345171
rand1,-0.05228509579018284
rand2,-0.31835995822272245
rand3,-0.5127793039811184
majoritario,1.226426113345171
minoritario,-2.845427973516392
pessimo,-0.2261057510512822
otimo,0.18756416083496177
