,Discriminacao,Dificuldade,Adivinhacao
V1,2.019,-2.419,0.106
V2,8.874,-1.989,0.059
V3,7.591,-1.418,0.384
V4,5.493,-1.228,0.208
V5,7.605,-2.083,0.061
V6,2.795,-2.187,0.150
V7,7.686,-1.418,0.379
V8,3.381,-1.973,0.194
V9,4.502,-1.112,0.664
V10,2.745,-2.233,0.123
V11,7.820,-1.060,0.764
V12,3.653,-1.815,0.290
V13,3.428,-1.936,0.201
V14,-0.425,-5.211,0.509
V15,7.565,-2.096,0.062
V16,8.892,-1.984,0.060
V17,12.428,-1.235,0.405
V18,8.886,-1.985,0.060
V19,2.683,-2.303,0.133
V20,9.047,-1.877,0.032
V21,7.790,-1.418,0.377
V22,13.504,-0.773,0.569
V23,7.603,-2.080,0.060
V24,10.720,-1.897,0.030
V25,2.736,-2.246,0.127
V26,3.725,-1.782,0.319
V27,3.752,-1.770,0.330
V28,7.548,-2.102,0.064
V29,2.985,-2.308,0.478
V30,3.783,-1.756,0.341
V31,7.548,-2.102,0.065
V32,9.580,-1.435,0.216
V33,7.375,-1.975,0.066
V34,3.680,-1.801,0.298
V35,12.491,-1.236,0.404
V36,7.589,-1.418,0.385
V37,12.523,-1.236,0.404
V38,4.250,-1.579,0.471
V39,1.707,-2.055,0.148
V40,19.723,-0.306,0.444
V41,8.835,-2.000,0.061
V42,4.607,-1.473,0.522
V43,7.554,-2.099,0.066
V44,7.979,-1.417,0.380
V45,3.514,-1.890,0.241
V46,8.818,-2.004,0.061
V47,5.124,-2.282,0.053
V48,8.836,-1.999,0.062
V49,8.313,-1.410,0.374
V50,10.710,-1.900,0.030
V51,3.806,-1.753,0.360
V52,6.934,-2.110,0.057
V53,6.286,-2.293,0.077
V54,5.126,-2.281,0.054
V55,10.148,-1.435,0.209
V56,7.564,-2.096,0.067
V57,17.140,-1.091,0.337
V58,-1.786,-2.382,0.001
V59,3.504,-1.905,0.249
V60,12.374,-1.236,0.403
V61,7.052,-0.826,0.654
V62,7.043,-2.069,0.057
V63,8.297,-1.413,0.375
V64,10.339,-1.138,0.557
V65,11.829,-0.109,0.269
V66,10.694,-1.903,0.030
V67,7.574,-2.092,0.068
V68,14.701,-0.840,0.445
V69,3.508,-1.904,0.254
V70,10.762,-0.825,0.451
V71,2.721,-2.262,0.129
V72,8.913,-1.978,0.063
V73,3.698,-1.798,0.315
V74,-0.536,-0.696,0.029
V75,10.317,-1.141,0.547
V76,7.720,-1.418,0.378
V77,17.147,-1.092,0.337
V78,10.682,-1.906,0.030
V79,0.063,24.108,0.507
V80,8.869,-1.990,0.063
V81,4.442,-1.522,0.503
V82,2.510,-2.128,0.131
V83,12.451,-1.236,0.405
V84,17.158,-1.090,0.336
V85,10.270,-1.139,0.554
V86,8.882,-1.986,0.061
V87,7.717,-1.419,0.379
V88,5.128,-2.280,0.056
V89,11.888,-1.318,0.201
V90,22.871,-0.400,0.508
V91,3.866,-1.724,0.371
V92,7.118,-1.397,0.435
V93,7.581,-2.090,0.069
V94,10.713,-0.115,0.672
V95,7.584,-2.089,0.070
V96,10.159,-1.435,0.209
