Clf,Score
rand1,80.9439077022693
rand2,80.9439077022693
rand3,80.9439077022693
minoritario,80.9439077022693
pessimo,80.9439077022693
majoritario,83.13451507318238
RandomForestClassifier(5_estimators),86.31414829505756
DecisionTreeClassifier(),88.15003308438332
RandomForestClassifier,88.67491569737109
GaussianNB,90.11473547048969
BernoulliNB,90.11473547048969
RandomForestClassifier(3_estimators),90.72446511007062
SVM,90.72446511007062
KNeighborsClassifier(2),91.66167403144371
KNeighborsClassifier(3),91.66167403144371
KNeighborsClassifier(5),91.66167403144371
KNeighborsClassifier(8),91.66167403144371
MLPClassifier,91.66167403144371
otimo,91.66167403144371
