Clf,Score
rand1,82.21808000297465
rand2,82.21808000297465
rand3,82.21808000297465
minoritario,82.21808000297465
pessimo,82.21808000297465
majoritario,84.38673817896141
RandomForestClassifier(5_estimators),87.52850228802647
DecisionTreeClassifier(),89.32712208955786
RandomForestClassifier,89.83858026874101
GaussianNB,91.21553534511284
BernoulliNB,91.21553534511284
RandomForestClassifier(3_estimators),91.79150601642603
SVM,91.79150601642603
KNeighborsClassifier(2),92.69294060549642
KNeighborsClassifier(3),92.69294060549642
KNeighborsClassifier(5),92.69294060549642
KNeighborsClassifier(8),92.69294060549642
MLPClassifier,92.69294060549642
otimo,92.69294060549642
