Metodo,Acuracia
GaussianNB,0.9640316205533598
BernoulliNB,0.9956521739130434
KNeighborsClassifier(2),0.9824110671936758
KNeighborsClassifier(3),0.9911067193675889
KNeighborsClassifier(5),0.9911067193675889
KNeighborsClassifier(8),0.9820158102766798
DecisionTreeClassifier(),0.9776679841897234
RandomForestClassifier(3_estimators),0.9820158102766798
RandomForestClassifier(5_estimators),0.9776679841897234
RandomForestClassifier,0.9911067193675889
SVM,0.9956521739130434
MLPClassifier,0.9956521739130434
rand1,0.5416666666666666
rand2,0.4375
rand3,0.6041666666666666
majoritario,0.5
minoritario,0.5
pessimo,0.0
otimo,1.0
