Metodo,Acuracia
GaussianNB,0.9166666666666666
BernoulliNB,0.9583333333333334
KNeighborsClassifier(2),0.96875
KNeighborsClassifier(3),0.96875
KNeighborsClassifier(5),0.9791666666666666
KNeighborsClassifier(8),0.96875
DecisionTreeClassifier(),0.90625
RandomForestClassifier(3_estimators),0.9583333333333334
RandomForestClassifier(5_estimators),0.8958333333333334
RandomForestClassifier,0.9479166666666666
SVM,0.96875
MLPClassifier,0.96875
rand1,0.5416666666666666
rand2,0.4375
rand3,0.6041666666666666
majoritario,0.5
minoritario,0.5
pessimo,0.0
otimo,1.0
