Clf,Theta
GaussianNB,-0.9443135925085263
BernoulliNB,-0.6287168995824011
KNeighborsClassifier(2),-0.08372126063265567
KNeighborsClassifier(3),-0.08372126063265567
KNeighborsClassifier(5),-0.08372126063265567
KNeighborsClassifier(8),-0.08372126063265567
DecisionTreeClassifier(),-0.6287168995824011
RandomForestClassifier(3_estimators),-0.08372126063265567
RandomForestClassifier(5_estimators),-0.6287168995824011
RandomForestClassifier,-0.08372126063265567
SVM,-0.08372126063265567
MLPClassifier,-0.08372126063265567
rand1,-1.259280195553737
rand2,-1.9908685492392737
rand3,-1.6841525741723085
majoritario,-2.103048965410925
minoritario,-2.6512853372631002
pessimo,-2.6512853372631002
otimo,-0.08372126063265567
