Clf,Theta
GaussianNB,-0.2911721987553424
BernoulliNB,0.06648378177799473
KNeighborsClassifier(2),0.30525189389505936
KNeighborsClassifier(3),0.5112752431764135
KNeighborsClassifier(5),0.5112752431764135
KNeighborsClassifier(8),0.30525189389505936
DecisionTreeClassifier(),-0.3023534663831369
RandomForestClassifier(3_estimators),-0.21570947210538452
RandomForestClassifier(5_estimators),-0.1508257208900481
RandomForestClassifier,-0.18984447681340863
SVM,0.5112752431764135
MLPClassifier,0.5112752431764135
rand1,-1.2815233831347517
rand2,-1.42145735213555
rand3,-1.3718085708032854
majoritario,-1.2544449585086348
minoritario,-1.5201785117269715
pessimo,-3.237703091570358
otimo,0.5112752431764135
